,docket_number,violation_number,issued_date,issuing_department,last_hearing_date,property_address,violation_type,entity_or_person_s_,disposition_description,total_fines,total_administrative_costs,interest_amount,collection_costs_or_attorney_fees,court_cost,original_total_amount_due,total_paid,current_amount_due,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
4951,16CP011076,P004737406|P004737407|P004737408|P004737409,2016-01-11T00:00:00.000,POLICE,2016-03-04T13:00:00.000,1026 N RIDGEWAY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK N A, ",City non-suit,0,0,0,0,0,0,0,0,41.89989862179923,-87.72026651828676,"{'type': 'Point', 'coordinates': [-87.72026651828676, 41.89989862179923]}",5,24,4299,456,46
4952,20CP023379,P005801121|P005801122|P005801123|P005801124|P005801125|P005801126,2020-08-24T00:00:00.000,POLICE,2020-10-02T09:00:00.000,410 N TROY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BAYVIEW LOAN SERVICING LLC, ",City non-suit,0,0,0,0,0,0,0,0,41.88872655916105,-87.70526530598565,"{'type': 'Point', 'coordinates': [-87.70526530598565, 41.88872655916105]}",28,24,21184,177,46
4953,15CP122959,P004909919|P004909921|P004909923,2015-08-29T00:00:00.000,POLICE,2015-10-02T09:00:00.000,6201 S FRANCISCO ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit,1300,0,227.99,377.88,0,1945.87,1541.36,0,41.78081454997919,-87.6957304353496,"{'type': 'Point', 'coordinates': [-87.6957304353496, 41.78081454997919]}",58,64,21867,182,2
4954,14CP010620,P004319151|P004319152|P004319153|P004319154|P004319155|P004319156,2014-01-26T00:00:00.000,POLICE,2014-03-07T09:00:00.000,2658 W 83RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.7428103467392,-87.68984882623084,"{'type': 'Point', 'coordinates': [-87.68984882623084, 41.7428103467392]}",8,69,4300,243,30
4955,15CP007243,P004593354|P004593355|P004593356|P004593357|P004593358|P004593359,2014-11-09T00:00:00.000,POLICE,2015-02-06T09:00:00.000,8247 S FAIRFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.74311187427232,-87.69108805692478,"{'type': 'Point', 'coordinates': [-87.69108805692478, 41.74311187427232]}",8,69,4300,243,30
4956,14CP052043,P004015459|P004015460|P004015461|P004015462,2014-04-21T00:00:00.000,POLICE,2014-06-06T13:00:00.000,1524 N DRAKE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE HOME FINANCE, ",City non-suit,0,0,0,0,0,0,0,0,,,,,,,,
4957,17CP028297,P005240977|P005240978|P005240979|P005240980,2017-03-08T00:00:00.000,POLICE,2017-05-05T13:00:00.000,5917 S WOLCOTT ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA, ",City non-suit,0,0,0,0,0,0,0,0,41.78611664671565,-87.6715113101839,"{'type': 'Point', 'coordinates': [-87.6715113101839, 41.78611664671565]}",23,65,22257,275,3
4958,11CP065776,P003059701|P003059702|P003059703|P003059704,2011-09-28T00:00:00.000,POLICE,2011-11-04T13:00:00.000,1022 N LAWLER ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK N A, ",City non-suit,0,0,0,0,0,0,0,0,41.89933732505926,-87.75217854149024,"{'type': 'Point', 'coordinates': [-87.75217854149024, 41.89933732505926]}",5,26,4299,585,45
4959,12CP039433,P003218695|P003218696|P003218697,2012-06-06T00:00:00.000,POLICE,2012-08-03T09:00:00.000,5200 S WOOD ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.799363665356715,-87.66974012296859,"{'type': 'Point', 'coordinates': [-87.66974012296859, 41.799363665356715]}",37,59,14924,767,2
4960,15CP040815,P004700534,2015-03-18T00:00:00.000,POLICE,2015-05-01T11:00:00.000,8739 S CARPENTER ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.73482141990529,-87.64952861777184,"{'type': 'Point', 'coordinates': [-87.64952861777184, 41.73482141990529]}",59,70,21554,533,13
4961,15CP089992,P004734136|P004734137|P004734143|P004734144|P004773384|P004773385,2015-06-25T00:00:00.000,POLICE,2015-08-07T11:00:00.000,9942 S VINCENNES ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.71289514804131,-87.65390890232283,"{'type': 'Point', 'coordinates': [-87.65390890232283, 41.71289514804131]}",13,72,22212,594,22
4962,14CP013039,P004322838|P004322839|P004322840|P004322841|P004322842|P004322843,2014-01-26T00:00:00.000,POLICE,2014-03-07T09:00:00.000,6540 S ROCKWELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0,0,0,0,0,0,0,0,41.77430274951733,-87.6885411398707,"{'type': 'Point', 'coordinates': [-87.6885411398707, 41.77430274951733]}",58,64,21867,382,31
4963,12CP063387,P003349139|P003349140|P003349141|P003349142|P003349143|P003349144,2012-08-29T00:00:00.000,POLICE,2012-10-05T09:00:00.000,4004 S MAPLEWOOD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.82088080536274,-87.68861325036515,"{'type': 'Point', 'coordinates': [-87.68861325036515, 41.82088080536274]}",56,55,22248,718,1
4964,13CP009149,P003766978|P003766979,2013-02-01T00:00:00.000,POLICE,2013-03-01T13:00:00.000,3704 W HURON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CITI BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.893707811803644,-87.71894430175723,"{'type': 'Point', 'coordinates': [-87.71894430175723, 41.893707811803644]}",30,24,21572,584,46
4965,13CP064124,P004016207|P004016208|P004016209|P004016210,2013-07-16T00:00:00.000,POLICE,2013-09-06T13:00:00.000,1252 N SPRINGFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",Default - Liable by prove-up,2800,0,1366.93,800.88,6.8,5014.61,5002.01,0,41.9042402264737,-87.72406295546313,"{'type': 'Point', 'coordinates': [-87.72406295546313, 41.9042402264737]}",5,24,4299,454,45
4966,14CP004039,P004322681|P004322682|P004322683|P004322684|P004322685|P004322686,2014-01-03T00:00:00.000,POLICE,2014-02-07T09:00:00.000,6542 S ARTESIAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.77431914436686,-87.68487505101264,"{'type': 'Point', 'coordinates': [-87.68487505101264, 41.77431914436686]}",58,64,21867,382,2
4967,11CP024064,P002511562|P002511563,2011-05-17T00:00:00.000,POLICE,2011-07-01T09:00:00.000,5430 S WINCHESER ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"NATION WIDE REO LLC, ",Default - Liable by prove-up,1300,0,318.18,377.88,0,2036.06,2035.74,0,41.79483012735898,-87.67325551184871,"{'type': 'Point', 'coordinates': [-87.67325551184871, 41.79483012735898]}",37,59,14924,767,2
4968,14CP002736,P004229132|P004229133|P004229134|P004229135|P004229136|P004229137,2014-01-08T00:00:00.000,POLICE,2014-04-04T09:00:00.000,4756 S ADA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,-40,41.80700746284533,-87.65899441191378,"{'type': 'Point', 'coordinates': [-87.65899441191378, 41.80700746284533]}",37,59,14924,739,4
4969,16CP096095,P005075065,2016-09-26T00:00:00.000,POLICE,2016-11-04T13:00:00.000,5733 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",Dismissed for want of prosecution - No service,3300,0,69.06,941.88,0,4350.94,2582.4,0,41.789621610735935,-87.64853686882148,"{'type': 'Point', 'coordinates': [-87.64853686882148, 41.789621610735935]}",11,66,21559,113,2
4970,15CP158679,P004916840|P004916841|P004916842|P004916843|P004916844|P004916845,2015-12-09T00:00:00.000,POLICE,2016-02-05T09:00:00.000,5752 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.789052162082506,-87.64881515883539,"{'type': 'Point', 'coordinates': [-87.64881515883539, 41.789052162082506]}",11,66,21559,113,2
4971,17CP104590,P005287480|P005287481|P005287482|P005287483,2017-11-17T00:00:00.000,POLICE,2018-01-05T11:00:00.000,1239 N PULASKI ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.90388883910848,-87.72618839907094,"{'type': 'Point', 'coordinates': [-87.72618839907094, 41.90388883910848]}",5,24,4299,454,45
4972,11CP076477,P003016369|P003016370|P003016371|P003016372|P003016373|P003016374,2011-11-09T00:00:00.000,POLICE,2012-01-06T09:00:00.000,3128 W 55 ST ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC, ",City non-suit,0,0,0,0,0,0,0,0,41.79364651769515,-87.7024016206298,"{'type': 'Point', 'coordinates': [-87.7024016206298, 41.79364651769515]}",56,61,22248,777,8
4973,20CP020547,P005886825|P005886826|P005886827|P005886828|P005886829|P005886830,2020-06-10T00:00:00.000,POLICE,2020-12-04T11:30:00.000,6230 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL HOME LOAN MORT CORP, ",City Non suit - Motion to set-aside default - Granted,0,0,0,0,0,0,0,0,41.7801062114115,-87.6862588167713,"{'type': 'Point', 'coordinates': [-87.6862588167713, 41.7801062114115]}",58,64,21867,111,2
4974,13CP009502,P003765076|P003765077,2013-01-31T00:00:00.000,POLICE,2013-03-01T13:00:00.000,718 N ST LOUIS ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST, ",City non-suit,0,0,0,0,0,0,0,0,41.894252645890184,-87.71398508614006,"{'type': 'Point', 'coordinates': [-87.71398508614006, 41.894252645890184]}",30,24,21572,584,46
4975,15CP048172,P004573261|P004573274|P004573275|P004579226|P004579227|P004579228,2015-03-30T00:00:00.000,POLICE,2015-06-05T09:00:00.000,3411 S HERMITAGE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.83191865219915,-87.66906370112896,"{'type': 'Point', 'coordinates': [-87.66906370112896, 41.83191865219915]}",43,56,14920,192,1
4976,14CP083529,P004472038|P004472039|P004472040|P004472041|P004472042|P004472043,2014-06-20T00:00:00.000,POLICE,2014-08-01T09:00:00.000,7332 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,0,41.75993147598021,-87.68937774777066,"{'type': 'Point', 'coordinates': [-87.68937774777066, 41.75993147598021]}",58,64,21867,333,30
