NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,state,county,tract,year
"Census Tract 2832, Cook County, Illinois",273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,24.0,27.0,131.0,62.0,14.0,0.0,0.0,17,031,283200,2010
"Census Tract 2838, Cook County, Illinois",476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,35.0,87.0,222.0,94.0,14.0,0.0,0.0,17,031,283800,2010
"Census Tract 2909, Cook County, Illinois",308.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,10.0,9.0,25.0,21.0,5.0,42.0,84.0,61.0,24.0,9.0,0.0,0.0,0.0,17,031,290900,2010
"Census Tract 2912, Cook County, Illinois",190.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,20.0,0.0,15.0,37.0,0.0,68.0,0.0,0.0,0.0,0.0,17,031,291200,2010
"Census Tract 2916, Cook County, Illinois",140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,8.0,35.0,0.0,25.0,0.0,0.0,10.0,20.0,0.0,20.0,17,031,291600,2010
"Census Tract 2922, Cook County, Illinois",283.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,10.0,14.0,25.0,17.0,92.0,93.0,0.0,0.0,0.0,0.0,17,031,292200,2010
"Census Tract 2924, Cook County, Illinois",170.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,9.0,9.0,39.0,0.0,19.0,18.0,31.0,17.0,0.0,0.0,0.0,17,031,292400,2010
"Census Tract 2925, Cook County, Illinois",529.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,9.0,8.0,25.0,16.0,20.0,122.0,9.0,67.0,10.0,77.0,40.0,46.0,18.0,0.0,0.0,39.0,17,031,292500,2010
"Census Tract 3005, Cook County, Illinois",109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,24.0,35.0,17.0,0.0,2.0,0.0,0.0,17,031,300500,2010
"Census Tract 3006, Cook County, Illinois",297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,35.0,84.0,49.0,105.0,0.0,0.0,0.0,0.0,0.0,17,031,300600,2010
"Census Tract 3007, Cook County, Illinois",348.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,28.0,34.0,14.0,44.0,110.0,30.0,11.0,9.0,0.0,0.0,17,031,300700,2010
"Census Tract 3008, Cook County, Illinois",351.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,55.0,12.0,101.0,27.0,75.0,17.0,16.0,22.0,0.0,0.0,0.0,17,031,300800,2010
"Census Tract 3009, Cook County, Illinois",323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.0,55.0,141.0,22.0,0.0,0.0,0.0,17,031,300900,2010
"Census Tract 3011, Cook County, Illinois",181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,13.0,0.0,0.0,46.0,66.0,0.0,9.0,0.0,0.0,17,031,301100,2010
"Census Tract 3012, Cook County, Illinois",376.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,40.0,0.0,63.0,39.0,29.0,83.0,81.0,0.0,0.0,0.0,0.0,17,031,301200,2010
"Census Tract 3016, Cook County, Illinois",452.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,8.0,111.0,26.0,79.0,49.0,87.0,34.0,12.0,0.0,13.0,17,031,301600,2010
"Census Tract 3017.01, Cook County, Illinois",435.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,52.0,40.0,82.0,13.0,125.0,62.0,42.0,0.0,0.0,0.0,0.0,17,031,301701,2010
"Census Tract 3017.02, Cook County, Illinois",373.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,20.0,212.0,13.0,72.0,0.0,0.0,0.0,0.0,17,031,301702,2010
"Census Tract 3018.01, Cook County, Illinois",440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,14.0,33.0,84.0,56.0,48.0,145.0,0.0,18.0,0.0,0.0,17,031,301801,2010
"Census Tract 3018.02, Cook County, Illinois",212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,61.0,20.0,42.0,37.0,0.0,0.0,13.0,0.0,9.0,17,031,301802,2010
"Census Tract 3018.03, Cook County, Illinois",589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,13.0,0.0,0.0,39.0,14.0,37.0,14.0,89.0,130.0,170.0,29.0,13.0,0.0,0.0,0.0,17,031,301803,2010
